name,dataset,nGen,Npos-Nneg/Ntotal,XS,weight,boosted_dataset,globalTag,isData,generator,additionalSelection,run
,,,,,,,,,,,
ttHTobb_M125_TuneCP5_13TeV-powheg-pythia8,/ttHTobb_M125_TuneCP5_13TeV-powheg-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v3/MINIAODSIM,11835999,0.527530776222,0.2953,4.72945094976E-05,/ttHTobb_M125_TuneCP5_13TeV-powheg-pythia8/mschrode-KIT_tthbb_skims_MC_94X_LEG_2018_v2-b9899da800e5578fdd124c7a0a5f7739/USER,102X_upgrade2018_realistic_v19,FALSE,POWHEG,NONE,2018
ttHToNonbb_M125_TuneCP5_13TeV-powheg-pythia8,/ttHToNonbb_M125_TuneCP5_13TeV-powheg-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v2/MINIAODSIM,7525991,0.52687804476,0.2118,5.3413638084E-05,/ttHToNonbb_M125_TuneCP5_13TeV-powheg-pythia8/mschrode-KIT_tthbb_skims_MC_94X_LEG_2018-b9899da800e5578fdd124c7a0a5f7739/USER,102X_upgrade2018_realistic_v19,FALSE,POWHEG,NONE,2018
,,,,,,,,,,,
TTbb_4f_TTTo2l2nu_TuneCP5-Powheg-Openloops-Pythia8,/TTbb_4f_TTTo2l2nu_TuneCP5-Powheg-Openloops-Pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,3574100,4.58775488054,3.80236639021,0.00023189268,/TTbb_4f_TTTo2l2nu_TuneCP5-Powheg-Openloops-Pythia8/swieland-KIT_tthbb_sl_skims_MC_102X_LEG_v2_2018-b9899da800e5578fdd124c7a0a5f7739/USER,102X_upgrade2018_realistic_v19,FALSE,notSpecified,NONE,2018
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,/TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,6123100,19.1085001753,15.7286210473,0.00013442891,/TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8/swieland-KIT_tthbb_sl_skims_MC_102X_LEG_v2_2018-b9899da800e5578fdd124c7a0a5f7739/USER,102X_upgrade2018_realistic_v19,FALSE,notSpecified,NONE,2018
,,,,,,,,,,,
TTToSemiLeptonic_TuneCP5up_13TeV-powheg-pythia8,/TTToSemiLeptonic_TuneCP5up_13TeV-powheg-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,26948000,300.738447619,365.46,4.50945811655E-05,/TTToSemiLeptonic_TuneCP5up_13TeV-powheg-pythia8/mschrode-KIT_tthbb_skims_MC_94X_LEG_2018-b9899da800e5578fdd124c7a0a5f7739/USER,102X_upgrade2018_realistic_v19,FALSE,POWHEG,NONE,2018
TTToSemiLeptonic_TuneCP5_13TeV-powheg-pythia8,/TTToSemiLeptonic_TuneCP5_13TeV-powheg-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,101550000,300.745639286,365.46,1.19663191947E-05,/TTToSemiLeptonic_TuneCP5_13TeV-powheg-pythia8/mschrode-KIT_tthbb_skims_MC_94X_LEG_2018-b9899da800e5578fdd124c7a0a5f7739/USER,102X_upgrade2018_realistic_v19,FALSE,POWHEG,NONE,2018
TTToSemiLeptonic_TuneCP5down_13TeV-powheg-pythia8,/TTToSemiLeptonic_TuneCP5down_13TeV-powheg-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,20483000,300.571600543,365.46,5.9360608053E-05,/TTToSemiLeptonic_TuneCP5down_13TeV-powheg-pythia8/mschrode-KIT_tthbb_skims_MC_94X_LEG_2018_v2-b9899da800e5578fdd124c7a0a5f7739/USER,102X_upgrade2018_realistic_v19,FALSE,POWHEG,NONE,2018
