name,dataset,nGen,Npos-Nneg/Ntotal,XS,weight,boosted_dataset,globalTag,isData,generator,additionalSelection,run
,,,,,,,,,,
ttHTobb_M125_TuneCP5_13TeV-powheg-pythia8,/ttHTobb_M125_TuneCP5_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,8000000,0.527165968881,0.2953,7.00206427937e-05,/ttHTobb_M125_TuneCP5_13TeV-powheg-pythia8/mwassmer-KIT_tthbb_sl_skims_MC_94X-89d803256191092beb2b5f9476740fe1/USER,94X_mc2017_realistic_v13,FALSE,POWHEG,NONE,
ttHTobb_M125_TuneCP5_13TeV-powheg-pythia8,/ttHTobb_M125_TuneCP5_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_new_pmx_94X_mc2017_realistic_v14-v1/MINIAODSIM,8000000,0.527179167942,0.2953,7.00188896768e-05,/ttHTobb_M125_TuneCP5_13TeV-powheg-pythia8/mwassmer-KIT_tthbb_sl_skims_MC_94X-89d803256191092beb2b5f9476740fe1/USER,94X_mc2017_realistic_v13,FALSE,POWHEG,NONE,
,,,,,,,,,,
ttHToNonbb_M125_TuneCP5_13TeV-powheg-pythia8,/ttHToNonbb_M125_TuneCP5_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,7669336,0.563180683974,0.2118,4.903661011e-05,/ttHToNonbb_M125_TuneCP5_13TeV-powheg-pythia8/mwassmer-KIT_tthbb_sl_skims_MC_94X-89d803256191092beb2b5f9476740fe1/USER,94X_mc2017_realistic_v13,FALSE,POWHEG,NONE,
ttHToNonbb_M125_TuneCP5_13TeV-powheg-pythia8,/ttHToNonbb_M125_TuneCP5_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_new_pmx_94X_mc2017_realistic_v14-v1/MINIAODSIM,7966779,0.563209172079,0.2118,4.72034201701e-05,,94X_mc2017_realistic_v13,FALSE,POWHEG,NONE,
,,,,,,,,,,
TTToSemiLeptonic_TuneCP5_PSweights_13TeV-powheg-pythia8,/TTToSemiLeptonic_TuneCP5_PSweights_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,111325048,301.118130066,365.46,1.09020973072e-05,/TTToSemiLeptonic_TuneCP5_PSweights_13TeV-powheg-pythia8/mwassmer-KIT_tthbb_sl_skims_MC_94X-89d803256191092beb2b5f9476740fe1/USER,94X_mc2017_realistic_v13,FALSE,POWHEG,NONE,
TTToSemiLeptonic_TuneCP5down_PSweights_13TeV-powheg-pythia8,/TTToSemiLeptonic_TuneCP5down_PSweights_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,27104055,300.976753683,365.46,4.47994442358e-05,/TTToSemiLeptonic_TuneCP5down_PSweights_13TeV-powheg-pythia8/mwassmer-KIT_tthbb_sl_skims_MC_94X-89d803256191092beb2b5f9476740fe1/USER,94X_mc2017_realistic_v13,FALSE,POWHEG,NONE,
TTToSemiLeptonic_TuneCP5up_PSweights_13TeV-powheg-pythia8,/TTToSemiLeptonic_TuneCP5up_PSweights_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,26166070,301.013743337,365.46,4.63996843828e-05,/TTToSemiLeptonic_TuneCP5up_PSweights_13TeV-powheg-pythia8/mwassmer-KIT_tthbb_sl_skims_MC_94X-89d803256191092beb2b5f9476740fe1/USER,94X_mc2017_realistic_v13,FALSE,POWHEG,NONE,
