name,dataset,nGen,Npos-Nneg/Ntotal,XS,weight,boosted_dataset,globalTag,isData,generator,additionalSelection,run
,,,,,,,,,,,
Vector_MonoTop_NLO_Mphi-200_Mchi-50_13TeV_TuneCP5_mcatnlo_pythia8,/Vector_MonoTop_NLO_Mphi-200_Mchi-50_13TeV_TuneCP5_mcatnlo_pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,2789000,58.5119666193,58.17,0.000356455938429,/Vector_MonoTop_NLO_Mphi-200_Mchi-50_13TeV_TuneCP5_mcatnlo_pythia8/mwassmer-KIT_Monotop_skims_2017_102X_v2-91b703368ee84eb28ae2bf5f724ef6a3/USER,102X_mc2017_realistic_v8,FALSE,pythia8,NONE,2017
,,,,,,,,,,,
Vector_MonoTop_NLO_Mphi-195_Mchi-100_13TeV_TuneCP5_mcatnlo_pythia8,/Vector_MonoTop_NLO_Mphi-195_Mchi-100_13TeV_TuneCP5_mcatnlo_pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,2976000,4.94307687968,4.958,0.000337035952344,/Vector_MonoTop_NLO_Mphi-195_Mchi-100_13TeV_TuneCP5_mcatnlo_pythia8/mwassmer-KIT_Monotop_skims_2017_102X_v2-91b703368ee84eb28ae2bf5f724ef6a3/USER,102X_mc2017_realistic_v8,FALSE,pythia8,NONE,2017
,,,,,,,,,,,
Vector_MonoTop_NLO_Mphi-200_Mchi-150_13TeV_TuneCP5_mcatnlo_pythia8,/Vector_MonoTop_NLO_Mphi-200_Mchi-150_13TeV_TuneCP5_mcatnlo_pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,2935000,0.247862156959,0.2488,0.000342004677421,/Vector_MonoTop_NLO_Mphi-200_Mchi-150_13TeV_TuneCP5_mcatnlo_pythia8/mwassmer-KIT_Monotop_skims_2017_102X_v2-91b703368ee84eb28ae2bf5f724ef6a3/USER,102X_mc2017_realistic_v8,FALSE,pythia8,NONE,2017
,,,,,,,,,,,
Vector_MonoTop_NLO_Mphi-300_Mchi-100_13TeV_TuneCP5_mcatnlo_pythia8,/Vector_MonoTop_NLO_Mphi-300_Mchi-100_13TeV_TuneCP5_mcatnlo_pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,2868000,18.8710722477,18.86,0.00034847045633,/Vector_MonoTop_NLO_Mphi-300_Mchi-100_13TeV_TuneCP5_mcatnlo_pythia8/mwassmer-KIT_Monotop_skims_2017_102X_v2-91b703368ee84eb28ae2bf5f724ef6a3/USER,102X_mc2017_realistic_v8,FALSE,pythia8,NONE,2017
,,,,,,,,,,,
Vector_MonoTop_NLO_Mphi-295_Mchi-150_13TeV_TuneCP5_mcatnlo_pythia8,/Vector_MonoTop_NLO_Mphi-295_Mchi-150_13TeV_TuneCP5_mcatnlo_pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,2979000,2.35088983507,2.352,0.00033584163538,/Vector_MonoTop_NLO_Mphi-295_Mchi-150_13TeV_TuneCP5_mcatnlo_pythia8/mwassmer-KIT_Monotop_skims_2017_102X_v2-91b703368ee84eb28ae2bf5f724ef6a3/USER,102X_mc2017_realistic_v8,FALSE,pythia8,NONE,2017
,,,,,,,,,,,
